image_path,prompt,model_name,consistency,bias,image_quality,hallucination,overall_score,other_notes,generator_model,domain,reward_score
/root/outputs_local/dreamshaper-8/Anatomy/0032-hi.png,3 भुजाओं वाले एक हिंदू देवता का स्केच।,models/gemini-2.5-flash,1,3,4,1,1,"Image shows three women, not a sketch of a 3-armed Hindu deity.",dreamshaper-8,Anatomy,-0.3445288836956024
/root/outputs_local/dreamlike-photoreal-2.0/Counting/0012-hi.png,5 पैरों पर खड़ी एक उत्परिवर्ती (म्यूटेंट) बिल्ली की तस्वीर।,models/gemini-2.5-flash,1,1,5,1,1,"The image shows a waterfall and lush greenery, completely unrelated to the prompt's request for a mutant cat.",dreamlike-photoreal-2.0,Counting,-0.18779106438159943
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Action/0186-en.png,"A basketball flattened on the ground, not bouncing.",models/gemini-2.5-flash,5,1,4,5,5,"The basketball is clearly deflated and resting on the ground, matching the prompt perfectly.",Realistic_Vision_V6.0_B1_noVAE,Action,-0.16907571256160736
/root/outputs_local/dreamshaper-8/Impossible/0111-en.png,A campfire burning brightly underwater on the ocean floor.,models/gemini-2.5-flash,5,1,5,1,5,Image perfectly depicts a brightly burning campfire underwater on the ocean floor as requested.,dreamshaper-8,Impossible,1.0397887229919434
/root/outputs_local/dreamlike-photoreal-2.0/Action/0196-en.png,A candle with a black wick and no flame.,models/gemini-2.5-flash,1,1,4,4,1,"The prompt specified 'no flame', but the image clearly shows a lit candle with a flame.",dreamlike-photoreal-2.0,Action,-0.3103880286216736
/root/outputs_local/dreamlike-photoreal-2.0/Texture/0171-en.png,A car made entirely of transparent glass.,models/gemini-2.5-flash,2,1,4,1,2,"The car is not made entirely of transparent glass; it has an opaque, colored body with some transparent windows.",dreamlike-photoreal-2.0,Texture,0.23657484352588654
/root/outputs_local/dreamlike-photoreal-2.0/Spatial/0086-en.png,"A cat sitting next to a cardboard box, not inside it.",models/gemini-2.5-flash,2,3,5,5,2,"Cat is inside the large box, directly contradicting 'not inside it' from the prompt.",dreamlike-photoreal-2.0,Spatial,-0.09524183720350266
/root/outputs_local/Realistic_Vision_V6.0_B1_noVAE/Impossible/0116-en.png,A city street where the rain is falling upwards towards the sky.,models/gemini-2.5-flash,5,1,4,1,5,Successfully depicts the surreal concept of rain falling upwards with glowing streaks.,Realistic_Vision_V6.0_B1_noVAE,Impossible,0.21492327749729156
/root/outputs_local/dreamlike-photoreal-2.0/Spatial/0091-en.png,A clean white dinner plate that has no food on it.,models/gemini-2.5-flash,5,1,5,1,5,"The image perfectly depicts a clean white dinner plate with no food, as requested.",dreamlike-photoreal-2.0,Spatial,1.4621386528015137
/root/outputs_local/stable-diffusion-v1-5/Text/0066-en.png,A close up of a gold badge that says 'POLICE'.,models/gemini-2.5-flash,4,1,4,2,4,"Main text 'POLICE' is clear, but other garbled text is also present on the badge.",stable-diffusion-v1-5,Text,1.0936970710754395
/root/outputs_local/dreamshaper-8/Color/0156-en.png,A close-up of a blue strawberry.,models/gemini-2.5-flash,5,1,5,1,5,Perfectly matches the prompt: a close-up of a blue strawberry. High quality and visually striking.,dreamshaper-8,Color,0.41974201798439026
/root/outputs_local/dreamshaper-8/Text/0071-en.png,A computer screen displaying a red box with the text 'ERROR'.,models/gemini-2.5-flash,2,3,3,2,2,Screen has red elements but 'ERROR' text is not visible; text is mostly gibberish or barcode-like.,dreamshaper-8,Text,0.7007359862327576
/root/outputs_local/stable-diffusion-v1-5/Geometry/0141-en.png,A cube floating in the air casting a shadow that is a circle.,models/gemini-2.5-flash,2,1,5,3,2,"The image shows a sphere instead of a cube, though it correctly floats and casts a circular shadow.",stable-diffusion-v1-5,Geometry,0.5042435526847839
/root/outputs_local/stable-diffusion-v1-5/Impossible/0101-en.png,"A goldfish swimming inside a lightbulb filled with air, not water.",models/gemini-2.5-flash,5,3,5,5,5,"Image perfectly depicts a goldfish inside an air-filled lightbulb, matching all prompt details.",stable-diffusion-v1-5,Impossible,2.5687475204467773
